n,h,tau,lambda_min,lambda_max,kappa_full,lambda_min_retained,kappa_retained,retained_dimension,discretization_error_L2h,discretization_relative_L2h,exact_vs_discrete_fidelity,filtered_error_to_continuum_L2h,filtered_vs_continuum_fidelity,filtered_fidelity,fs_angle_radians,postselection_probability_ideal_exact_block
31,0.03125,0.0,9.861679775340777,4086.1383202246593,414.3450622319016,9.861679775340777,414.3450622319016,31,0.016952174447173292,0.020261723889688978,0.9996718413770518,0.016952174447173292,0.9996718413770518,1.0,0.0,0.0017529665545555466
31,0.03125,50.0,9.861679775340777,4086.1383202246593,414.3450622319016,88.18619242043624,46.335352599685876,29,0.016952174447173292,0.020261723889688978,0.9996718413770518,0.7073097294325478,0.2855477484073358,0.2971495492581406,0.994270936357984,0.041653173649222996
31,0.03125,300.0,9.861679775340777,4086.1383202246593,414.3450622319016,345.15023400438724,11.838723887907664,26,0.016952174447173292,0.020261723889688978,0.9996718413770518,0.8247500843060982,0.028571428571428636,0.0341566970511251,1.3849124000029422,0.07334390851644465
63,0.015625,0.0,9.86762276722776,16374.132377232772,1659.3796462927587,9.86762276722776,1659.3796462927587,63,0.004091550642559581,0.004890338384527734,0.9999807582718894,0.004091550642559581,0.9999807582718894,1.0,0.0,0.001731639924289505
63,0.015625,50.0,9.86762276722776,16374.132377232772,1659.3796462927587,88.66603036851427,184.67199116931826,61,0.004091550642559581,0.004890338384527734,0.9999807582718894,0.7071186043528772,0.28570452481038405,0.2884933433777823,1.003782287610922,0.04033507240948473
63,0.015625,300.0,9.86762276722776,16374.132377232772,1659.3796462927587,352.74476968174497,46.419206702925514,58,0.004091550642559581,0.004890338384527734,0.9999807582718894,0.8246284963060982,0.028571428571428657,0.029868935132940564,1.3970978815915311,0.06609573238674402
127,0.0078125,0.0,9.869108962780114,65526.13089103722,6639.518434557703,9.869108962780114,6639.518434557703,127,0.0010141448404984979,0.00121213492737267,0.999998816073417,0.0010141448404984979,0.999998816073417,1.0,0.0,0.0017265705647776083
127,0.0078125,50.0,9.869108962780114,65526.13089103722,6639.518434557703,88.786315552679,738.0206114326146,125,0.0010141448404984979,0.00121213492737267,0.999998816073417,0.7071075075472553,0.2857136853349043,0.2864042987067388,1.0060902571597392,0.04002211586384994
127,0.0078125,300.0,9.869108962780114,65526.13089103722,6639.518434557703,354.6641214740571,184.75545431180672,122,0.0010141448404984979,0.00121213492737267,0.999998816073417,0.8246215758180026,0.028571428571428643,0.028890013344718555,1.399996466539837,0.0644185137084078
255,0.00390625,0.0,9.869480539646732,262134.13051946033,26560.07370058031,9.869480539646732,26560.07370058031,255,0.00025299596622586527,0.00030238801687935214,0.9999999262922608,0.00025299596622586527,0.9999999262922608,1.0,0.0,0.0017253186296068436
255,0.00390625,50.0,9.869480539646732,262134.13051946033,26560.07370058031,88.81640723585421,2951.4156075167116,253,0.00025299596622586527,0.00030238801687935214,0.9999999262922608,0.7071068263906157,0.28571424834009035,0.2858864954784975,1.0066631013772438,0.03994484728865857
255,0.00390625,300.0,9.869480539646732,262134.13051946033,26560.07370058031,355.145262210716,738.1039771943516,250,0.00025299596622586527,0.00030238801687935214,0.9999999262922608,0.82462115313817,0.02857142857142865,0.028650718468435567,1.4007122318890217,0.06400712044258114
